["['Wukong', 'Nautilus', 'Sylas', 'Ezreal', 'Lux']", "['Renekton', 'Jarvan IV', 'Yasuo', 'Miss Fortune', 'Fiddlesticks']", '1', '0', '[52.42, 51.4, 47.67, 52.9, 52.14, 49.87, 48.0, 49.49, 52.01, 51.36]', '[13568, 10219, 217010, 6143, 43191, 16570, 8439, 64231, 9629, 30190]']
['[\'Malphite\', "Kha\'Zix", \'Ahri\', \'Caitlyn\', \'Nami\']', "['Renekton', 'Amumu', 'Neeko', 'Ashe', 'Thresh']", '2', '0', '[48.25, 51.83, 51.09, 49.8, 51.13, 49.06, 52.7, 50.34, 51.31, 50.36]', '[147814, 47038, 182888, 38454, 77603, 101399, 12899, 12679, 6563, 342007]']
["['Urgot', 'Master Yi', 'Heimerdinger', 'Caitlyn', 'Brand']", "['Renekton', 'Kayn', 'Akali', 'Jinx', 'Blitzcrank']", '3', '0', '[47.31, 54.83, 50.62, 51.99, 48.93, 48.24, 52.92, 46.41, 52.1, 48.6]', '[18507, 19218, 127204, 38454, 20199, 22236, 3734, 28452, 108790, 88795]']
["['Tryndamere', 'Master Yi', 'Anivia', 'Ashe', 'Leona']", "['Nasus', 'Rammus', 'Gangplank', 'Vayne', 'Karma']", '1', '0', '[48.75, 49.49, 49.73, 51.83, 50.07, 49.8, 53.63, 53.59, 50.78, 49.91]', '[35957, 56934, 12088, 522, 74317, 36277, 114374, 360784, 91252, 3920]']
['[\'Quinn\', \'Hecarim\', \'Orianna\', "Kai\'Sa", \'Nautilus\']', "['Gnar', 'Karthus', 'Yasuo', 'Miss Fortune', 'Galio']", '1', '1', '[50.68, 50.26, 50.28, 47.6, 51.4, 49.35, 51.75, 49.49, 52.01, 47.24]', '[19744, 4288, 26282, 13689, 82531, 623675, 20204, 271308, 10750, 5160]']
["['Dr. Mundo', 'Hecarim', 'Zed', 'Jinx', 'Morgana']", "['Jax', 'Vi', 'Talon', 'Tristana', 'Nami']", '1', '1', '[48.77, 50.26, 50.51, 52.29, 49.33, 51.54, 53.03, 52.59, 48.03, 50.66]', '[52863, 2610, 402746, 14289, 95262, 34978, 34961, 21695, 49727, 64907]']
["['Nautilus', 'Jarvan IV', 'Yasuo', 'Draven', 'Karma']", "['Nasus', 'Master Yi', 'Morgana', 'Twitch', 'Neeko']", '0', '1', '[54.18, 50.04, 49.32, 54.94, 49.14, 46.18, 47.16, 49.2, 51.96, 54.77]', '[119807, 37375, 38807, 17517, 3920, 731782, 701937, 15575, 46734, 5375]']
["['Riven', 'Jarvan IV', 'Twisted Fate', 'Jhin', 'Morgana']", "['Yasuo', 'Rammus', 'LeBlanc', 'Ezreal', 'Nami']", '0', '1', '[50.45, 50.04, 49.65, 47.73, 49.2, 49.32, 51.58, 47.72, 47.51, 50.34]', '[48682, 47067, 9968, 128042, 12984, 77899, 141310, 297954, 34985, 26117]']
['[\'Akali\', \'Evelynn\', "Vel\'Koz", \'Tristana\', \'Thresh\']', "['Urgot', 'Twitch', 'Malzahar', 'Lucian', 'Braum']", '1', '1', '[45.99, 49.44, 50.88, 48.03, 49.46, 49.92, 51.07, 54.35, 46.8, 48.35]', '[4645, 3911, 27964, 78249, 37297, 155412, 24274, 229574, 60605, 62129]']
['["Cho\'Gath", \'Elise\', \'Fizz\', \'Ezreal\', "Vel\'Koz"]', "['Riven', 'Hecarim', 'Zilean', 'Sivir', 'Xerath']", '4', '0', '[46.94, 48.77, 49.07, 44.25, 49.36, 51.5, 48.8, 49.91, 50.13, 46.39]', '[7404, 20864, 38783, 79480, 47281, 15861, 103679, 3139, 60768, 138215]']
["['Shyvana', 'Rammus', 'Neeko', 'Caitlyn', 'Soraka']", "['Ryze', 'Hecarim', 'Lux', 'Jayce', 'Blitzcrank']", '0', '0', '[48.37, 51.58, 54.77, 48.49, 47.04, 42.8, 50.0, 53.23, 52.21, 50.46]', '[82689, 34816, 11920, 55105, 99679, 1013, 4894, 248816, 16742, 245279]']
["['Tahm Kench', 'Vi', 'Malzahar', 'Draven', 'Sona']", "['Kayle', 'Kayn', 'Morgana', 'Caitlyn', 'Nautilus']", '2', '1', '[49.39, 51.39, 52.02, 49.57, 56.28, 55.11, 52.95, 49.6, 49.8, 50.47]', '[51897, 25168, 126047, 1626, 66811, 2878, 13163, 23544, 37040, 54342]']
["['Garen', 'Vi', 'Vladimir', 'Jinx', 'Miss Fortune']", "['Yasuo', 'Kayn', 'Bard', 'Ezreal', 'Swain']", '0', '2', '[48.67, 52.67, 46.76, 53.26, 51.67, 49.32, 46.79, 52.23, 47.51, 49.82]', '[21003, 25168, 345463, 10762, 756344, 151382, 13926, 52015, 89302, 32347]']
["['Nasus', 'Jax', 'Cassiopeia', 'Jhin', 'Xerath']", "['Renekton', 'Vi', 'Sylas', 'Jinx', 'Thresh']", '2', '1', '[51.04, 53.69, 52.27, 47.48, 47.08, 49.06, 51.39, 48.25, 51.25, 50.36]', '[50126, 29030, 487418, 346818, 63786, 14061, 25168, 43007, 35225, 118430]']
['[\'Malphite\', "Kha\'Zix", \'Irelia\', \'Jinx\', \'Nautilus\']', "['Tryndamere', 'Vi', 'Zed', 'Ashe', 'Pyke']", '0', '1', '[48.0, 47.69, 47.99, 53.26, 54.18, 46.95, 52.67, 50.2, 52.13, 53.24]', '[10318, 13779, 138120, 145987, 19434, 112107, 25168, 138553, 73516, 35252]']
["['Fiora', 'Nocturne', 'Aurelion Sol', 'Jhin', 'Lulu']", "['Vladimir', 'Vi', 'Sylas', 'Draven', 'Janna']", '1', '1', '[49.19, 47.98, 52.99, 46.99, 48.94, 48.42, 53.03, 47.67, 50.17, 51.35]', '[45508, 98351, 93448, 14427, 31457, 51340, 25168, 14544, 202571, 20860]']
